Story	Role	Character Name	Function	Verb	Text																				
135			alpha	live/lived,family,farm	Once upon a time, a family lived in the countryside in their farm.																				
			lambda	agree/agreed,widow/woman;birth,widow/woman,boy//hero	The woman agreed and became pregnant and gave birth to a boy.																				
			A_11	hide/hid,widow/mother,boy	The eve of the boy's second birthday, the old mother hid the boy underground.																				
			A_11	come/came,witch;!find,witch,boy	The witch came the next day but could not find the boy.																				
			A_11	curse/cursed,witch;transform/transformed,witch,boy	The witch cursed the boy and transformed him into a cat.																				
			B_7	sing,widow/mother,boy/cat	Years passed and everyday the mother would sing to the cat and tell him about his story.																				
			C	decide/decided,boy/cat	One day the cat decided he could no longer bear his mother's sadness and decided to leave.																				
			depart	leave/left,boy/cat	The cat left the house and boarded a ship.																				
			G	return/returned,cat	Years passed and the ship eventually returned to the cat's home town.																				
			o	go/went,boy/cat;see/saw,boy/cat1,witch/cat2	The cat went back home and saw her mother happy with another cat.																				
			o	!recognize,widow/mother,boy/him1;lock/locked,widow/mother,boy/him	His mother wouldn't recognize him and locked him out.																				
			L	be/was,witch/cat	The other cat was the witch's in disguise.																				
			L	ask/asked,witch,widow/mother;kill,widow/mother,boy/boy	The witch asked the mother to kill the boy.																				
			M	prove,boy,widow/mother	The boy had to prove to her mother that he was his son.																				
			N	sing/sang,boy/he,widow/mother	He sang the song her mother used to sing to him.																				
			Ex	realize/realized,widow/mother	The mother then realized who her son really was.																				
			U	take/took,widow/she;kill/killed,widow/she,witch	She took a shovel and killed the witch.																				
			K_8	break/broke;regain/regained,boy	At this moment the spell broke and the boy regained his human form.																				
			W	be/was,boy/he	He was a good looking lad that had no trouble finding a wife.																				
																									
																									
																									
108			alpha	live/lived,couple;live/lived,girl/daughter/hero	An old couple lived with their daughter in a farm.																				
			beta2	die/died,mother	The mother died of illness.																				
			lambda	marry/married, father/widower,widow/widow/villain	The widower eventually married a widow that had a daughter of her own.																				
			lambda	be/was,widow/stepmother	The stepmother was always cruel to the poor girl.																				
			epsilon1	come/came,pirates	One night a group of pirates came to the farm.																				
			epsilon1	spy/spied,pirates/they/villain	They spied the family through the windows.																				
			A_1	kidnap/kidnapped,pirates,father;kidnap/kidnapped,pirates,widow/stepmother	Once the family was asleep the pirates kidnapped the father and stepmother.																				
			depart	!find,girl;!find,sister/stepsister/fh	The next morning, the girl and her stepsister couldn't find their parents.																				
			depart	decide/decided,they	They decided to go look for them.																				
			depart	take/took,they	They took separate ways.																				
			D1_8	find/found,girl,lady//tester	The girl found an old lady.																				
			D1_8	ask/asked,lady,girl/her	The old lady asked her help her pick apples from the top of an apple tree.																				
			E1_8	climb/climbed,girl;give/gave,girl,lady	The girl climbed the tree and gave the apples to the old lady.																				
			return	decide/decided,they/girls	It was getting dark and both girls decided to go back home.																				
			Pr_7	be/was,girl;see/saw,girl/she,pirates	The girl was still atop the tree when she saw the pirates come back.																				
			Pr_7	see/saw,pirates,girl/her	The pirates saw her.																				
			Pr_7	chew/chewing,pirates	One of the pirates had iron teeth and began chewing on the tree.																				
			Rs_10	jump/jumped,girl	But the girl was very agile and jumped from tree to tree until she arrived home.																				
			L	surround/surrounded,pirates,they/girls	The pirates surrounded the farm with the two girls inside.																				
			L	make/made,lady,pirates	But then, the old lady from earlier heard their voices and made the pirates stop.																				
			L	ask,lady,they/girls	The old lady was partly blind and asked the girls if they had helped her.																				
			L	jump/jumped,sister/stepsister;tell/told,sister/stepsister,lady	The stepsister, immediately jumped and told the old lady she had helped her.																				
			Q	implore/implored,girl/lady	The other girl implored the old lady to take her but free her parents.																				
			Q	smell/smelled,lady,girl	The old lady smelled the apples on the girl.																				
			Ex	curse/cursed,lady/she,stepsister	She cursed at the stepsister for being a liar.																				
			T	free/freed,pirates,father	The pirates freed the girl's father.																				
			U	take/taken,pirates,widow/stepmother; take/taken,pirates,sister/stepsister;	The stepmother and stepsister were taken by the pirates and sold as slaves.																				
			W	marry/married,girl,captain	The girl was married to a captain and lived a good life at sea.																				
																									
																									
113			alpha		Once upon a time, in a land, far, far away.																				
			alpha	live/lived,girl//hero	There lived a girl with her baby brother and her mother.																				
			beta1	go/went,mother	One day, the mother went to the market.																				
			gamma1	tell/told,mother,girl	The mother told the girl to watch her baby brother.																				
			delta1	forget/forgot,girl	The girl started playing and soon forgot what her mother had asked her.																				
			A_1	see/saw,witch//villain,brother//sfp	A nearby witch saw the baby brother unattended and took him away.																				
			B	come/came,girl;realize/realized,girl	After a while, the girl came back and realized her baby brother was missing.																				
			C	suspect/suspected,girl,witch	The girl suspected the witch may be behind.																				
			depart	decide/decided,girl/she;save,girl/she,brother;go/went,girl/she	She decided to go save her brother and went on to the witch's hut.																				
			depart	make/made,girl/she;wait/waited,girl/she,witch	She made her way in and waited for the witch.																				
			D1_1	come/came,bear//tester	While waiting, a bear came and knocked on the door.																				
			D1_1	ask/asked,bear,girl	The bear asked the girl for food.																				
			E1_1	prepare/prepared,girl;feed/fed,girl/bear	The girl prepared some porridge and fed it to the bear.																				
			F1	tell/told,bear,girl;fight,bear,witch	The bear told the girl he would fight the witch in return.																				
			d2_7	come/came,mouse//tester	Then a little mouse came from a little hole in the wall.																				
			d2_7	ask/asked,mouse,girl	The mouse asked the girl what she was doing there.																				
			E2_7	tell/told,girl,mouse	The girl told the mouse about her missing baby brother.																				
			F2_9	tell/told,mouse,girl/her	The mouse told her that a little boy was being kept captive in a cellar under the hut.																				
			G_4	find/found,girl;meet/met,girl/she,brother	The girl found a trap door leading to the cellar where she met her brother.																				
			K_1	pull/pulled,girl,brother	The girl pulled her brother from the cellar and escaped.																				
			return	return/returned,they	They both returned home safe and sound.																				
																									
																									
113			alpha		Once upon a time, in a land, far, far away.																				
			alpha	live/lived,girl//hero;live/lived,brother//sfp;live/lived,mother	There lived a girl with her baby brother and her mother.																				
			beta1	go/went,mother	One day, the mother went to the market.																				
			gamma1	tell/told,mother,girl	The mother told the girl to watch her brother.																				
			delta1	forget/forgot,girl,mother	The girl started playing and soon forgot what her mother had asked her.																				
			A1	smell/smelled,witch,brother;take/took,witch,brother/him	A nearby witch smelled the baby brother and took him away.																				
			depart	leave/left,girl	When the girl could not find her brother home, she became concerned and left looking for him.																				
			D1	run/ran,girl,tree//tester	The girl ran into a magic apple tree and asked the tree if she had seen her brother.																				
			D1	ask/asked,tree,girl	The tree asked the girl to eat one of her apples before telling her where her brother was.																				
			E_1	refuse/refused,girl;!tell/tell,tree,girl	The girl refused to eat an apple and the tree did not tell her.																				
			G4	follow/followed,girl	The girl continued looking for her brother and eventually followed a little path that led to a wicked little cabin.																				
			K1	see/saw,girl,brother	The girl saw her brother inside.																				
			K1	grab/grabbed,girl,brother	The girl grabbed her brother and ran away.																				
			return	run/running,girl	The girl started running back home.																				
			Pr1	see/saw,witch,girl	The witch saw the girl running and started chasing after them.																				
			D7	run/ran,girl,tree;ask/asked,girl,tree	The girl ran into the magic apple tree and asked for help.																				
			D7	ask/asked,tree,girl	The apple tree asked the girl to eat an apple.																				
			E7	eat/ate,girl	The girl ate an apple.																				
			Rs4	hide/hid,tree,girl/her	Then, the apple tree hid her under her branches.																				
			Rs4	pass/passed,witch;!see/see,witch,girl	The witch passed by and did not see the girl.																				
				arrive/arrived,girl;arrive/arrived,brother	The girl and her baby brother arrived it home in time before her mother came back from the market.																				
																									
																									
																									
																									
																									
114			alpha	be/was,queen;be/was,boy/son/villain;be/was,girl/daughter/hero	Once upon a time there was a happy queen with a son and a daughter.																				
			alpha	live/lived,witch//villain	In the kingdom lived a witch that was jealous of their happiness.																				
			alpha	devide/devised,witch	The witch devised a plan to ruin their family.																				
			eta1	visit/visited,witch	The witch visited them.																				
			eta1	give/gave,witch/she,son/prince	She gave the prince a ring and told him that he would be happy as long as he married a girl who the ring would fit.																				
			A_xvi	!find,boy,bride/girl	Years passed but the boy could not find a girl who the ring would fit.																				
			A_xvi	see/saw,girl/sister	One day, his sister saw the ring and tried it on.																				
			A_xvi	!take,girl/she	The ring fit perfectly and she couldn't take it off.																				
			A_xvi	ask/asked,boy/he,girl/her	He immediately asked her to marry him.																				
			depart	panic/panicked,girl	The girl panicked and escaped the palace.																				
			d1_7	walk/walked,girl/she1	She walked though the forest until she reached a lonely hut.																				
			d1_7	be/was,maiden//tester	Inside there was a maiden.																				
			d1_7	be/was,maiden	The maiden was the daughter of a witch.																				
			d1_7	ask/asked,maiden,girl	The maiden was lonely and asked the girl to be friends.																				
			E1_7	agree/agreed,girl	The girl agreed.																				
			F1_2	talk/talked,they	They talked for hours.																				
			D2_8	ask/asked,maiden,girl	The next day the maiden asked the girl for help braiding a handkerchief.																				
			E2_8	agree/agreed,girl	The girl agreed.																				
			E2_8	bride/braided,they	Together they braided a beautiful handkerchief.																				
			F2_8	ask/asked,maiden,girl	The maiden asked the girl to keep it as a token of their friendship.																				
			return	return,girl;face,girl	The girl was ready to return home and face her fate.																				
			Pr_1	appear/appeared,witch	Then the witch appeared from the sky.																				
			Pr_1	smell/smelled,witch,girl	The witch smelled the girl and wanted to eat her.																				
			Rs_4	hide/hid,maiden,girl	The maiden hid the girl from the witch.																				
			Rs_4	!find,witch,girl/her;escape/escaped,girl	When she couldn't find her, the witch left and the girl escaped safely.																				
			Q	arrive/arrived,girl;find/found,girl,boy/brother;sob/sobbing,boy/brother	The girl arrived home and found her brother sobbing in her absence.																				
			Q	apologize/apologized,boy/brother,girl/her	Her brother apologized to her for his behavior.																				
			W	marry/married,they/both	Eventually both the brother and sister married royalty from neighboring kingdoms and were happy ever after.																				
																									
																									
127			alpha	live/lived,merchant;live/lived,girl/daughter	Once there lived a rich merchant with a beautiful daughter.																				
			alpha	send/sent,girl/daughter;marry,girl/daughter,prince	The merchant sent her daughter to marry the kingdom's prince.																				
			alpha	part/parted,girl/daughter;part/parted,maidservant//villain	The daughter parted with a maidservant.																				
			A_6	be/was,maidservant	The maidservant was jealous.																				
			A_6	steal/stole,maidservant,girl/daughter;leave/left,maidservant,girl/her	The maidservant stole the merchant's daughter clothes and left her to be eaten by the wolves.																				
			o	arrive/arrived,maidservant	The maidservant arrived to the palace and met with the prince.																				
			o	be/was,prince;marry/married,prince,maidservant/her	The prince was confused because of the lack of manners of the maidservant but married her anyway.																				
			F1_3	find/found,fairy//tester,girl/daughter;give/gave,fairy,maidservant/her	Meanwhile, a fairy found the merchant's daughter, took pity on her and gave her a pair of magic eyes.																				
			o	go/went,girl;!let,guards,girl/her	The girl went to the palace the guards wouldn't let her in.																				
			H_1	lean/learned,maidservant,girl/daughter;be/was,maidservant	When the maidservant learned about the merchant's daughter still being alive was furious.																				
			H_1	ask/asked,maidservant/she,prince;kill,prince,girl/daughter	She asked the prince to go to the palace's doors and kill the merchant's daughter.																				
			J_1	give/gave,girl/daughter,prince	The merchant's daughter gave the magic eyes to the prince.																				
			I_1	see/saw,prince,maidservant	The prince saw the maidservant through the magic eyes.																				
			Ex	see/saw,prince/he,maidservant/she	He saw the horrible creature that she was in the inside.																				
			K_3	order/ordered,prince,maidservant	The prince ordered the maidservant to be expelled from the palace.																				
			Pr_6	enrage/enraged,maidservant;chase/chased,maidservant,girl/daughter;kill,maidservant,girl/her	The maidservant enraged and chased the merchant's daughter to kill her.																				
			Pr_6	corner/cornered,maidservant,girl/daughter	The maidservant cornered the merchant's daughter at the edge of a cliff.																				
			Rs_6	convert/converted,fairy,girl/daughter;escape/escaped,girl/she	The fairy converted the merchant's daughter into a dove and she escaped.																				
			Rs_6	fall/fell,maidservant;die/died,maidservant	The maidservant fell off the cliff and died.																				
			T_2	fly/flow,girl/dove;convert/converted,girl/dove,girl	The dove flow back to the palace where she converted into a beautiful girl again.																				
			W	marry/married,prince,girl/her	The prince married her and they lived happily the rest of their lives.																				
																									
131			alpha	be/was,dragon//villain	In a kingdom far away there was a town terrified by a dragon.																				
			A_1	kidnap/kidnapped,dragon,princess//sfp	One day the dragon kidnapped the princess.																				
			B	issue/issued,king	The king issued a call for help.																				
			B	respond/responded,soldier//hero	A humble soldier responded to the call.																				
			C	tell/told,king,soldier;make,king,soldier/him;rescue,soldier/he2,princess	The king told the soldier he would make him a nobleman is he could rescue the princess.																				
			depart	agree/agreed,soldier,depart/departed,soldier	The soldier agreed and departed.																				
			H_1	reach/reached,soldier,dragon	After a few days, the soldier reached the den of the dragon.																				
			H_1	ambush/ambushed,dragon,soldier/him;be/was,soldier	The dragon ambushed him but the soldier was faster than him.																				
			I_1	see/saw,dragon;ask/asked,dragon,soldier	The dragon saw he could not win and asked the soldier for forgiveness.																				
			I_1	order/ordered,soldier,dragon	The soldier ordered the dragon to leave and never come back.																				
			K_4	find/found,soldier/he,princess;rescue/rescued,soldier/he,princess/her	He found the princess and rescued her.																				
			return	return/returned,they	They returned to the palace.																				
			w_0	marry/married,soldier,princess;live/lived,they	The soldier married the princess and they lived a happy and peaceful life.																				
																									
145			alpha	be/was,soldier//hero	Once upon a time, there was a soldier at the orders of certain king.																				
			alpha	have/had,soldier;be/was,soldier	The soldier had many abilities and was always loyal.																				
			a_1	!find,king,bride//sfp	The king could not find a bride.																				
			B_2	command/commanded,soldier;kidnap,soldier,bride/princess	The king commanded the soldier to go kidnap a princess for him to marry.																				
			C	accept/accepted,soldier;prepare/prepared,soldier	The soldier accepted the king's orders and prepared to leave.																				
			depart	take/took,soldier/he,soldiers	He took a small company of soldiers and embarked on their journey.																				
			F1_3	hit	After several days at sea, a terrible storm hit the ship.																				
			F1_3	stand/stood,soldier	The soldier stood firm at as the captain's post not matter what.																				
			G_1	lift;fly/flew,soldier	The ship was lifted from the sea and the soldier flew to a new kingdom.																				
			K_2	be/was,castle;lock/locked,,bride/maiden	There was a castle by a cliff where a maiden had been locked.																				
			K_2	rescue/rescued,soldier,bride/maiden	The soldier rescued the maiden from the castle.																				
			return	board/boarded,they	They boarded the ship and returned home.																				
			W	marry/married,king,bride/maiden	The king married the maiden.																				
			W	make/made,king,soldier;marry/married,soldier,lady	The soldier was made a noble man by the king and married another lady in the court.																				
																									
																									
148			alpha	be/was,dragon//villain;terrorize/terrorized,dragon	There was once a dragon that terrorized a little kingdom.																				
			alpha	kidnap,dragon,maidens	The dragon would kidnap the town's maidens.																				
			epsilon2	have/had,king;rescue/rescued,tanner//hero,princes/daughter/sfp	One night the king had a dream where a tanner rescued his daughter from the dragon.																				
			A_1	kidnap,dragon,princess	The next day, the princess had been kidnapped by the dragon.																				
			B_4	approach/approached,king,tanner	The king approached the tanner and asked him to rescue his daughter.																				
			C	concede/conceded,tanner;fight,tanner,dragon	Eventually the tanner conceded and prepared to go fight the dragon.																				
			depart	take/took,tanner/he;part/parted,tanner/he;seek,tanner/he,dragon	He took a big mace and parted to seek the dragon.																				
			H_1	find/found,tanner/he,dragon;fling/flung,tanner/he2,dragon/him	When he found the dragon he flung his mace at him.																				
			I_1	die/died,dragon	The dragon died instantly.																				
			K_4	rescue/rescued,tanner,princess	The tanner rescued the princess.																				
			return	come/came,they	They both came back to the palace.																				
			W	offer/offered,king,tanner	The king offered the princess to the tanner in marriage.																				
			W	refuse/refused,tanner;go/went,tanner	But the tanner refused and went back to his old life.																				
																									
																									
149			alpha	arrive/arrived,father//hero;arrive/arrived,kid/child	A roaming gypsy caravan with a father and his blind child arrived at an isolated village.																				
			alpha	be/was,giant//villain;terrorize/terrorizing,giant,folks	There was a giant who had been terrorizing the village's folks.																				
			A_17	threat/threatened,giant,folks/child	The giant threatened to eat every single child if his demands were not met.																				
			B_4	meet/met,gypsy,man	The gypsy met an old man.																				
			B_4	tell/told,man,gypsy/him	The old man told him all about the giant.																				
			C	tell/told,gypsy,man	The gypsy told the old man he would take care of the giant.																				
			depart	grab/grabbed,gypsy/he;go/went,gypsy/he;meet,gypsy/he,giant	He grabbed a piece of soft cheese and went to meet the giant.																				
			H_2	trick/tricked,gypsy,giant	The gypsy tricked the giant into a contest to see who was stronger.																				
			H_2	smash/smashed,giant	The giant smashed a rock with his hands.																				
			I_2	take/took,gypsy	The gypsy took the cheese and told the giant it was a rock.																				
			I_2	crumble/crumbled,gypsy	The gypsy crumbled the cheese with a single hand.																				
			K_4	see/saw,giant,gypsy	When the giant saw that he became scared of the gypsy.																				
			K_4	flee/fled,giant	The giant fled the village and never returned.																				
			w_0	thank/thanked,,gypsy;settle/settled,gypsy	The gypsy was thanked and settled in the village.																				
																									
151			alpha	live/lived,laborer//hero	A poor laborer lived in a small town.																				
			a_5	ruin/ruined,,crops	His master's crops had been ruined and there was no work for him.																				
			B_4	tell/told,master,laborer/him	Eventually his master told him he had to let him go.																				
			C	be/was,laborer	The laborer was very understanding.																				
			depart	leave/left,laborer/he	He left the small town and headed to the city.																				
			H_2	run/ran,laborer/he,bull//villain	On the way there he ran into the bull that had been ruining all the crops.																				
			H_2	challenge/challenged,bull,laborer/him	The bull challenged him to a race.																				
			H_2	agree/agreed,laborer;storm/stormed,bull	The laborer agreed and the bull stormed out.																				
			I_2	know/knew,laborer;take/took,laborer	The laborer knew the land really well and instead of following the path he took a shortcut.																				
			I_2	arrive/arrived,bull;be/was,laborer	When the bull arrived at the goal, the laborer was already there waiting for him.																				
			K_1	promise/promised,bull	Ashamed, the bull promised to stop running and ruining the crops.																				
			K_1	be/was,laborer;find,laborer	The laborer was able to find work in no time and was prosperous.																				
																									
152			alpha	kidnap/kidnapped,bear//villain,woman	A woman was once kidnapped by a bear.																				
			alpha	birth,woman,bearlet//hero	The woman gave birth to a bearlet who was half-boy and half-bear.																				
			alpha	escape,woman;take/took,woman,bearlet/boy	Eventually, the woman was able to escape and took the boy with her.																				
			A_9	get/got,they;!accept,husband//villain,woman	When they got back home, the woman's husband could not accept the bearlet.																				
			A_9	have/had,husband/he	He had a plan to get rid of the bearlet.																				
			A_9	tell/told,husband/he,bearlet;rid,bearlet/he3,spirit//villain	He told the bearlet that he would only let him stay if he got rid of the water spirits in the lake.																				
			depart	leave/left,bearlet	The bearlet left not knowing what to do.																				
			H_2	sob/sobbing,bearlet/he;come/came,spirit	He was sobbing loudly next to a lake when a water spirit came out of the lake.																				
			H_2	challenge/challenged,spirit,bearlet/him	The water spirit challenged him to see who could scream the loudest.																				
			H_2	take/took,bearlet;take/took,spirit	The bearlet and the water spirit took turns yelling and screaming.																				
			I_2	ask/asked,bearlet,spirit	The bearlet asked the water spirit to close his eyes.																				
			I_2	smack/smacked,bearlet,spirit/head	Then, the bearlet smacked his head with a stick.																				
			I_2	think/thought,spirit;shake/shaken,bearlet,spirit/head	The water spirit thought that the bearlet's scream had shaken his head and gave up.																				
			K_1	concede/conceded,spirit,bearlet;go/went,spirit;live,spirit	The water spirit conceded to the bearlet and went to live to another lake.																				
			return	come/came,bearlet;be/was,woman/mother	The bearlet came back home and his mother was very happy to see him again.																				
																									
153			alpha	give/given,,soldier//hero	A soldier was given leave from his company.																				
			alpha	have/had,soldier/he	He had only a piece of bread, a knapsack and a fiddle.																				
			alpha	be/was,soldier/he	He was happy and left playing the fiddle.																				
			epsilon1	hear/heard,devil//villain	A nearby devil heard the fiddle.																				
			epsilon1	approach/approached,devil,soldier;ask/asked,devil,soldier/him	The devil approached the soldier and asked him to teach him how to play in exchange for a favor.																				
			theta1	teach/taught,soldier,devil;!ask,soldier,devil/devil2	The soldier taught the devil how to play but did not ask the devil for any favors.																				
			theta1	part/parted,they	They parted ways.																				
			A_18	torment/tormenting,devil,princess//sfp	After some time, the devil was tormenting the princess of the kingdom.																				
			A_18	issue/issued,king	The king issued a call asking for help.																				
			C	answer/answered,soldier;interview/interviewed,soldier,king	The soldier answered the call and interviewed with the king.																				
			C	assure/assured,soldier/he,king;free,soldier/he,princess	He assured the king he would be able to free the princess from her torments.																				
			H_3	stand/stood,soldier	That night, the soldier stood awake in front of the princess' room.																				
			H_3	appear/appeared,devil	At midnight the devil appeared.																				
			H_3	call/calling;ask/asked,soldier/devil;play,devil	Calling for the due favor, the soldier asked the devil to play a game of cards.																				
			I_3	best/bested,soldier,devil;play,they	The soldier bested the devil at all the games of cards they played that night.																				
			U	come/came,sun;tell/told,soldier,devil	When the sun came out, the soldier told the devil to hide in his knapsack.																				
			U	beat,soldier;kill/killed,soldier,devil	Then, the soldier beat the knapsack and killed the devil inside.																				
			wtransX	relieve/relieved,princess	The princess was relieved and her father thankful.																				
			wtransX	marry/married,soldier,princess	The soldier married the princess and lived happy in the castle.																				
																									
154			alpha	desert/deserted,soldier//hero	Once upon a time, a soldier deserted from his company.																				
			alpha	have/had,soldier/he	He had only a piece of bread, a knapsack and a fiddle.																				
			Dpre	get/got,soldier;stumble/stumbled,soldier,devil//villain	One night, the fugitive soldier got lost and stumbled into a devil.																				
			Epre_7	approach/approached,devil,soldier;ask/asked,devil,soldier	The devil approached the soldier and asked him to teach him how to play the fiddle.																				
			Fpre_9	teach/taught,soldier,devil	The soldier taught the devil how to play.																				
			Fpre_9	tell/told,devil,soldier	In exchange, the devil told the soldier how to talk to the Grim Reaper.																				
			A_18	pass/passed;find/found,soldier;serve/serving,soldier,king	Time passed and the soldier found himself serving another king.																				
			A_18	be/been,princess/daughter/sfp	The king's daughter had been cursed and was very ill.																				
			C	go/went,soldier,king;help,soldier,princess	The soldier went to the king and asked for a chance to help the princess.																				
			F1_1	take/took,soldier/he	He took with him a deck of cards that had been rigged.																				
			H_3	see/saw,soldier/he,reaper;enter,reaper,princess	At night, he saw the Grim Reaper enter the princess' room.																				
			H_3	challenge/challenged,soldier/he,reaper/him	He challenged him to a game of cards.																				
			I_3	win/won,soldier;ask/asked,soldier,reaper;leave,reaper,princess	The soldier won the game and asked the Grim Reaper to leave the princess alone as his reward.																				
			K_4	lift/lifted,princess;be/was,princess	The curse was lifted and the princess was healthy again.																				
			W	be/was,king;marry/married,princess/daughter,soldier;make/made,king,soldier	The king was so happy that he married his daughter to the soldier and made him a nobleman.																				
																									
163			alpha	live/lived,peasant//hero	There once lived a poor and unlucky peasant.																				
			a_1	!marry/married,peasant/he	He never married and was very lonely.																				
			B	come/came,fox//tester,peasant/him	A fox came to him one day and told him that he could marry him to the princess.																				
			C	be/was,peasant;trust/trusted,peasant,fox	The peasant was reluctant but then trusted the fox.																				
			depart	leave/left,they;live/lived,peasant;head/headed,they	They left the hole where the peasant lived and headed to the palace.																				
			G_3	follow/followed,peasant,fox	The peasant followed the fox though a swamp.																				
